😀	emj_grinning_face
🌂	emj_closed_umbrella
☂	emj_umbrella
☔	emj_umbrella_with_rain_drops
⛱	emj_umbrella_on_ground
⚡	emj_high_voltage
❄	emj_snowflake
☃	emj_snowman
⛄	emj_snowman_without_snow
☄	emj_comet
🔥	emj_fire
💧	emj_droplet
🌊	emj_water_wave
🎃	emj_jack_o_lantern
🎄	emj_christmas_tree
🎆	emj_fireworks
🎇	emj_sparkler
🧨	emj_firecracker
✨	emj_sparkles
🎈	emj_balloon
🎉	emj_party_popper
🎊	emj_confetti_ball
🎋	emj_tanabata_tree
🎍	emj_pine_decoration
🎎	emj_japanese_dolls
🎏	emj_carp_streamer
🎐	emj_wind_chime
🎑	emj_moon_viewing_ceremony
🧧	emj_red_envelope
🎀	emj_ribbon
🎁	emj_wrapped_gift
🎗	emj_reminder_ribbon
🎟	emj_admission_tickets
🎫	emj_ticket
🎖	emj_military_medal
🏆	emj_trophy
🏅	emj_sports_medal
🥇	emj_1st_place_medal
🥈	emj_2nd_place_medal
🥉	emj_3rd_place_medal
⚽	emj_soccer_ball
⚾	emj_baseball
🥎	emj_softball
🏀	emj_basketball
🏐	emj_volleyball
🏈	emj_american_football
🏉	emj_rugby_football
🎾	emj_tennis
🥏	emj_flying_disc
🎳	emj_bowling
🏏	emj_cricket_game
🏑	emj_field_hockey
🏒	emj_ice_hockey
🥍	emj_lacrosse
🏓	emj_ping_pong
🏸	emj_badminton
🥊	emj_boxing_glove
🥋	emj_martial_arts_uniform
🥅	emj_goal_net
⛳	emj_flag_in_hole
⛸	emj_ice_skate
🎣	emj_fishing_pole
🤿	emj_diving_mask
🎽	emj_running_shirt
🎿	emj_skis
🛷	emj_sled
🥌	emj_curling_stone
🎯	emj_bullseye
🪀	emj_yo_yo
🪁	emj_kite
🎱	emj_pool_8_ball
🔮	emj_crystal_ball
🪄	emj_magic_wand
🧿	emj_nazar_amulet
🎮	emj_video_game
🕹	emj_joystick
🎰	emj_slot_machine
🎲	emj_game_die
🧩	emj_puzzle_piece
🧸	emj_teddy_bear
🪅	emj_pi_ata
🪆	emj_nesting_dolls
♠	emj_spade_suit
♥	emj_heart_suit
♦	emj_diamond_suit
♣	emj_club_suit
♟	emj_chess_pawn
🃏	emj_joker
🀄	emj_mahjong_red_dragon
🎴	emj_flower_playing_cards
🎭	emj_performing_arts
🖼	emj_framed_picture
🎨	emj_artist_palette
🧵	emj_thread
🪡	emj_sewing_needle
🧶	emj_yarn
🪢	emj_knot
👓	emj_glasses
🕶	emj_sunglasses
🥽	emj_goggles
🥼	emj_lab_coat
🦺	emj_safety_vest
👔	emj_necktie
👕	emj_t_shirt
👖	emj_jeans
🧣	emj_scarf
🧤	emj_gloves
🧥	emj_coat
🧦	emj_socks
👗	emj_dress
👘	emj_kimono
🥻	emj_sari
🩱	emj_one_piece_swimsuit
🩲	emj_briefs
🩳	emj_shorts
👙	emj_bikini
👚	emj_woman_s_clothes
👛	emj_purse
👜	emj_handbag
👝	emj_clutch_bag
🛍	emj_shopping_bags
🎒	emj_backpack
🩴	emj_thong_sandal
👞	emj_man_s_shoe
👟	emj_running_shoe
🥾	emj_hiking_boot
🥿	emj_flat_shoe
👠	emj_high_heeled_shoe
👡	emj_woman_s_sandal
🩰	emj_ballet_shoes
👢	emj_woman_s_boot
👑	emj_crown
👒	emj_woman_s_hat
🎩	emj_top_hat
🎓	emj_graduation_cap
🧢	emj_billed_cap
🪖	emj_military_helmet
⛑	emj_rescue_worker_s_helmet
📿	emj_prayer_beads
💄	emj_lipstick
💍	emj_ring
💎	emj_gem_stone
🔇	emj_muted_speaker
🔈	emj_speaker_low_volume
🔉	emj_speaker_medium_volume
🔊	emj_speaker_high_volume
📢	emj_loudspeaker
📣	emj_megaphone
📯	emj_postal_horn
🔔	emj_bell
🔕	emj_bell_with_slash
🎼	emj_musical_score
🎵	emj_musical_note
🎶	emj_musical_notes
🎙	emj_studio_microphone
🎚	emj_level_slider
🎛	emj_control_knobs
🎤	emj_microphone
🎧	emj_headphone
📻	emj_radio
🎷	emj_saxophone
🪗	emj_accordion
🎸	emj_guitar
🎹	emj_musical_keyboard
🎺	emj_trumpet
🎻	emj_violin
🪕	emj_banjo
🥁	emj_drum
🪘	emj_long_drum
📱	emj_mobile_phone
📲	emj_mobile_phone_with_arrow
☎	emj_telephone
📞	emj_telephone_receiver
📟	emj_pager
📠	emj_fax_machine
🔋	emj_battery
🔌	emj_electric_plug
💻	emj_laptop
🖥	emj_desktop_computer
🖨	emj_printer
⌨	emj_keyboard
🖱	emj_computer_mouse
🖲	emj_trackball
💽	emj_computer_disk
💾	emj_floppy_disk
💿	emj_optical_disk
📀	emj_dvd
🧮	emj_abacus
🎥	emj_movie_camera
🎞	emj_film_frames
📽	emj_film_projector
🎬	emj_clapper_board
📺	emj_television
📷	emj_camera
📸	emj_camera_with_flash
📹	emj_video_camera
📼	emj_videocassette
🔍	emj_magnifying_glass_tilted_left
🔎	emj_magnifying_glass_tilted_right
🕯	emj_candle
💡	emj_light_bulb
🔦	emj_flashlight
🏮	emj_red_paper_lantern
🪔	emj_diya_lamp
📔	emj_notebook_with_decorative_cover
📕	emj_closed_book
📖	emj_open_book
📗	emj_green_book
📘	emj_blue_book
📙	emj_orange_book
📚	emj_books
📓	emj_notebook
📒	emj_ledger
📃	emj_page_with_curl
📜	emj_scroll
📄	emj_page_facing_up
📰	emj_newspaper
🗞	emj_rolled_up_newspaper
📑	emj_bookmark_tabs
🔖	emj_bookmark
🏷	emj_label
💰	emj_money_bag
🪙	emj_coin
💴	emj_yen_banknote
💵	emj_dollar_banknote
💶	emj_euro_banknote
💷	emj_pound_banknote
💸	emj_money_with_wings
💳	emj_credit_card
🧾	emj_receipt
💹	emj_chart_increasing_with_yen
✉	emj_envelope
📧	emj_e_mail
📨	emj_incoming_envelope
📩	emj_envelope_with_arrow
📤	emj_outbox_tray
📥	emj_inbox_tray
📦	emj_package
📫	emj_closed_mailbox_with_raised_flag
📪	emj_closed_mailbox_with_lowered_flag
📬	emj_open_mailbox_with_raised_flag
📭	emj_open_mailbox_with_lowered_flag
📮	emj_postbox
🗳	emj_ballot_box_with_ballot
✏	emj_pencil
✒	emj_black_nib
🖋	emj_fountain_pen
🖊	emj_pen
🖌	emj_paintbrush
🖍	emj_crayon
📝	emj_memo
💼	emj_briefcase
📁	emj_file_folder
📂	emj_open_file_folder
🗂	emj_card_index_dividers
📅	emj_calendar
📆	emj_tear_off_calendar
🗒	emj_spiral_notepad
🗓	emj_spiral_calendar
📇	emj_card_index
📈	emj_chart_increasing
📉	emj_chart_decreasing
📊	emj_bar_chart
📋	emj_clipboard
📌	emj_pushpin
📍	emj_round_pushpin
📎	emj_paperclip
🖇	emj_linked_paperclips
📏	emj_straight_ruler
📐	emj_triangular_ruler
✂	emj_scissors
🗃	emj_card_file_box
🗄	emj_file_cabinet
🗑	emj_wastebasket
🔒	emj_locked
🔓	emj_unlocked
🔏	emj_locked_with_pen
🔐	emj_locked_with_key
🔑	emj_key
🗝	emj_old_key
🔨	emj_hammer
🪓	emj_axe
⛏	emj_pick
⚒	emj_hammer_and_pick
🛠	emj_hammer_and_wrench
🗡	emj_dagger
⚔	emj_crossed_swords
🔫	emj_water_pistol
🪃	emj_boomerang
🏹	emj_bow_and_arrow
🛡	emj_shield
🪚	emj_carpentry_saw
🔧	emj_wrench
🪛	emj_screwdriver
🔩	emj_nut_and_bolt
⚙	emj_gear
🗜	emj_clamp
⚖	emj_balance_scale
🦯	emj_white_cane
🔗	emj_link
⛓	emj_chains
🪝	emj_hook
🧰	emj_toolbox
🧲	emj_magnet
🪜	emj_ladder
⚗	emj_alembic
🧪	emj_test_tube
🧫	emj_petri_dish
🧬	emj_dna
🔬	emj_microscope
🔭	emj_telescope
📡	emj_satellite_antenna
💉	emj_syringe
🩸	emj_drop_of_blood
💊	emj_pill
🩹	emj_adhesive_bandage
🩺	emj_stethoscope
🚪	emj_door
🛗	emj_elevator
🪞	emj_mirror
🪟	emj_window
🛏	emj_bed
🛋	emj_couch_and_lamp
🪑	emj_chair
🚽	emj_toilet
🪠	emj_plunger
🚿	emj_shower
🛁	emj_bathtub
🪤	emj_mouse_trap
🪒	emj_razor
🧴	emj_lotion_bottle
🧷	emj_safety_pin
🧹	emj_broom
🧺	emj_basket
🧻	emj_roll_of_paper
🪣	emj_bucket
🧼	emj_soap
🪥	emj_toothbrush
🧽	emj_sponge
🧯	emj_fire_extinguisher
🛒	emj_shopping_cart
🚬	emj_cigarette
⚰	emj_coffin
🪦	emj_headstone
⚱	emj_funeral_urn
🗿	emj_moai
🪧	emj_placard
🏧	emj_atm_sign
🚮	emj_litter_in_bin_sign
🚰	emj_potable_water
♿	emj_wheelchair_symbol
🚹	emj_men_s_room
🚺	emj_women_s_room
🚻	emj_restroom
🚼	emj_baby_symbol
🚾	emj_water_closet
🛂	emj_passport_control
🛃	emj_customs
🛄	emj_baggage_claim
🛅	emj_left_luggage
⚠	emj_warning
🚸	emj_children_crossing
⛔	emj_no_entry
🚫	emj_prohibited
🚳	emj_no_bicycles
🚭	emj_no_smoking
🚯	emj_no_littering
🚱	emj_non_potable_water
🚷	emj_no_pedestrians
📵	emj_no_mobile_phones
🔞	emj_no_one_under_eighteen
☢	emj_radioactive
☣	emj_biohazard
⬆	emj_up_arrow
↗	emj_up_right_arrow
➡	emj_right_arrow
↘	emj_down_right_arrow
⬇	emj_down_arrow
↙	emj_down_left_arrow
⬅	emj_left_arrow
↖	emj_up_left_arrow
↕	emj_up_down_arrow
↔	emj_left_right_arrow
↩	emj_right_arrow_curving_left
↪	emj_left_arrow_curving_right
⤴	emj_right_arrow_curving_up
⤵	emj_right_arrow_curving_down
🔃	emj_clockwise_vertical_arrows
🔄	emj_counterclockwise_arrows_button
🔙	emj_back_arrow
🔚	emj_end_arrow
🔛	emj_on_arrow
🔜	emj_soon_arrow
🔝	emj_top_arrow
🛐	emj_place_of_worship
⚛	emj_atom_symbol
🕉	emj_om
✡	emj_star_of_david
☸	emj_wheel_of_dharma
☯	emj_yin_yang
✝	emj_latin_cross
☦	emj_orthodox_cross
☪	emj_star_and_crescent
☮	emj_peace_symbol
🕎	emj_menorah
🔯	emj_dotted_six_pointed_star
♈	emj_aries
♉	emj_taurus
♊	emj_gemini
♋	emj_cancer
♌	emj_leo
♍	emj_virgo
♎	emj_libra
♏	emj_scorpio
♐	emj_sagittarius
♑	emj_capricorn
♒	emj_aquarius
♓	emj_pisces
⛎	emj_ophiuchus
🔀	emj_shuffle_tracks_button
🔁	emj_repeat_button
🔂	emj_repeat_single_button
▶	emj_play_button
⏩	emj_fast_forward_button
⏭	emj_next_track_button
⏯	emj_play_or_pause_button
◀	emj_reverse_button
⏪	emj_fast_reverse_button
⏮	emj_last_track_button
🔼	emj_upwards_button
⏫	emj_fast_up_button
🔽	emj_downwards_button
⏬	emj_fast_down_button
⏸	emj_pause_button
⏹	emj_stop_button
⏺	emj_record_button
⏏	emj_eject_button
🎦	emj_cinema
🔅	emj_dim_button
🔆	emj_bright_button
📶	emj_antenna_bars
📳	emj_vibration_mode
📴	emj_mobile_phone_off
♀	emj_female_sign
♂	emj_male_sign
⚧	emj_transgender_symbol
✖	emj_multiply
➕	emj_plus
➖	emj_minus
➗	emj_divide
♾	emj_infinity
‼	emj_double_exclamation_mark
⁉	emj_exclamation_question_mark
❓	emj_red_question_mark
❔	emj_white_question_mark
❕	emj_white_exclamation_mark
❗	emj_red_exclamation_mark
〰	emj_wavy_dash
💱	emj_currency_exchange
💲	emj_heavy_dollar_sign
⚕	emj_medical_symbol
♻	emj_recycling_symbol
⚜	emj_fleur_de_lis
🔱	emj_trident_emblem
📛	emj_name_badge
🔰	emj_japanese_symbol_for_beginner
⭕	emj_hollow_red_circle
✅	emj_check_mark_button
☑	emj_check_box_with_check
✔	emj_check_mark
❌	emj_cross_mark
❎	emj_cross_mark_button
➰	emj_curly_loop
➿	emj_double_curly_loop
〽	emj_part_alternation_mark
✳	emj_eight_spoked_asterisk
✴	emj_eight_pointed_star
❇	emj_sparkle
©	emj_copyright
®	emj_registered
™	emj_trade_mark
#️⃣	emj_keycap
*️⃣	emj_keycap
0️⃣	emj_keycap
1️⃣	emj_keycap
2️⃣	emj_keycap
3️⃣	emj_keycap
4️⃣	emj_keycap
5️⃣	emj_keycap
6️⃣	emj_keycap
7️⃣	emj_keycap
8️⃣	emj_keycap
9️⃣	emj_keycap
🔟	emj_keycap
🔠	emj_input_latin_uppercase
🔡	emj_input_latin_lowercase
🔢	emj_input_numbers
🔣	emj_input_symbols
🔤	emj_input_latin_letters
🅰	emj_a_button_blood_type
🆎	emj_ab_button_blood_type
🅱	emj_b_button_blood_type
🆑	emj_cl_button
🆒	emj_cool_button
🆓	emj_free_button
ℹ	emj_information
🆔	emj_id_button
Ⓜ	emj_circled_m
🆕	emj_new_button
🆖	emj_ng_button
🅾	emj_o_button_blood_type
🆗	emj_ok_button
🅿	emj_p_button
🆘	emj_sos_button
🆙	emj_up_button
🆚	emj_vs_button
🈁	emj_japanese_here_button
🈂	emj_japanese_service_charge_button
🈷	emj_japanese_monthly_amount_button
🈶	emj_japanese_not_free_of_charge_button
🈯	emj_japanese_reserved_button
🉐	emj_japanese_bargain_button
🈹	emj_japanese_discount_button
🈚	emj_japanese_free_of_charge_button
🈲	emj_japanese_prohibited_button
🉑	emj_japanese_acceptable_button
🈸	emj_japanese_application_button
🈴	emj_japanese_passing_grade_button
🈳	emj_japanese_vacancy_button
㊗	emj_japanese_congratulations_button
㊙	emj_japanese_secret_button
🈺	emj_japanese_open_for_business_button
🈵	emj_japanese_no_vacancy_button
🔴	emj_red_circle
🟠	emj_orange_circle
🟡	emj_yellow_circle
🟢	emj_green_circle
🔵	emj_blue_circle
🟣	emj_purple_circle
🟤	emj_brown_circle
⚫	emj_black_circle
⚪	emj_white_circle
🟥	emj_red_square
🟧	emj_orange_square
🟨	emj_yellow_square
🟩	emj_green_square
🟦	emj_blue_square
🟪	emj_purple_square
🟫	emj_brown_square
⬛	emj_black_large_square
⬜	emj_white_large_square
◼	emj_black_medium_square
◻	emj_white_medium_square
◾	emj_black_medium_small_square
◽	emj_white_medium_small_square
▪	emj_black_small_square
▫	emj_white_small_square
🔶	emj_large_orange_diamond
🔷	emj_large_blue_diamond
🔸	emj_small_orange_diamond
🔹	emj_small_blue_diamond
🔺	emj_red_triangle_pointed_up
🔻	emj_red_triangle_pointed_down
💠	emj_diamond_with_a_dot
🔘	emj_radio_button
🔳	emj_white_square_button
🔲	emj_black_square_button
🏁	emj_chequered_flag
🚩	emj_triangular_flag
🎌	emj_crossed_flags
🏴	emj_black_flag
🏳	emj_white_flag
🏳️‍🌈	emj_rainbow_flag
🏳️‍⚧️	emj_transgender_flag
🏴‍☠️	emj_pirate_flag
🇦🇨	emj_flag
🇦🇩	emj_flag
🇦🇪	emj_flag
🇦🇫	emj_flag
🇦🇬	emj_flag
🇦🇮	emj_flag
🇦🇱	emj_flag
🇦🇲	emj_flag
🇦🇴	emj_flag
🇦🇶	emj_flag
🇦🇷	emj_flag
🇦🇸	emj_flag
🇦🇹	emj_flag
🇦🇺	emj_flag
🇦🇼	emj_flag
🇦🇽	emj_flag
🇦🇿	emj_flag
🇧🇦	emj_flag
🇧🇧	emj_flag
🇧🇩	emj_flag
🇧🇪	emj_flag
🇧🇫	emj_flag
🇧🇬	emj_flag
🇧🇭	emj_flag
🇧🇮	emj_flag
🇧🇯	emj_flag
🇧🇱	emj_flag
🇧🇲	emj_flag
🇧🇳	emj_flag
🇧🇴	emj_flag
🇧🇶	emj_flag
🇧🇷	emj_flag
🇧🇸	emj_flag
🇧🇹	emj_flag
🇧🇻	emj_flag
🇧🇼	emj_flag
🇧🇾	emj_flag
🇧🇿	emj_flag
🇨🇦	emj_flag
🇨🇨	emj_flag
🇨🇩	emj_flag
🇨🇫	emj_flag
🇨🇬	emj_flag
🇨🇭	emj_flag
🇨🇮	emj_flag
🇨🇰	emj_flag
🇨🇱	emj_flag
🇨🇲	emj_flag
🇨🇳	emj_flag
🇨🇴	emj_flag
🇨🇵	emj_flag
🇨🇷	emj_flag
🇨🇺	emj_flag
🇨🇻	emj_flag
🇨🇼	emj_flag
🇨🇽	emj_flag
🇨🇾	emj_flag
🇨🇿	emj_flag
🇩🇪	emj_flag
🇩🇬	emj_flag
🇩🇯	emj_flag
🇩🇰	emj_flag
🇩🇲	emj_flag
🇩🇴	emj_flag
🇩🇿	emj_flag
🇪🇦	emj_flag
🇪🇨	emj_flag
🇪🇪	emj_flag
🇪🇬	emj_flag
🇪🇭	emj_flag
🇪🇷	emj_flag
🇪🇸	emj_flag
🇪🇹	emj_flag
🇪🇺	emj_flag
🇫🇮	emj_flag
🇫🇯	emj_flag
🇫🇰	emj_flag
🇫🇲	emj_flag
🇫🇴	emj_flag
🇫🇷	emj_flag
🇬🇦	emj_flag
🇬🇧	emj_flag
🇬🇩	emj_flag
🇬🇪	emj_flag
🇬🇫	emj_flag
🇬🇬	emj_flag
🇬🇭	emj_flag
🇬🇮	emj_flag
🇬🇱	emj_flag
🇬🇲	emj_flag
🇬🇳	emj_flag
🇬🇵	emj_flag
🇬🇶	emj_flag
🇬🇷	emj_flag
🇬🇸	emj_flag
🇬🇹	emj_flag
🇬🇺	emj_flag
🇬🇼	emj_flag
🇬🇾	emj_flag
🇭🇰	emj_flag
🇭🇲	emj_flag
🇭🇳	emj_flag
🇭🇷	emj_flag
🇭🇹	emj_flag
🇭🇺	emj_flag
🇮🇨	emj_flag
🇮🇩	emj_flag
🇮🇪	emj_flag
🇮🇱	emj_flag
🇮🇲	emj_flag
🇮🇳	emj_flag
🇮🇴	emj_flag
🇮🇶	emj_flag
🇮🇷	emj_flag
🇮🇸	emj_flag
🇮🇹	emj_flag
🇯🇪	emj_flag
🇯🇲	emj_flag
🇯🇴	emj_flag
🇯🇵	emj_flag
🇰🇪	emj_flag
🇰🇬	emj_flag
🇰🇭	emj_flag
🇰🇮	emj_flag
🇰🇲	emj_flag
🇰🇳	emj_flag
🇰🇵	emj_flag
🇰🇷	emj_flag
🇰🇼	emj_flag
🇰🇾	emj_flag
🇰🇿	emj_flag
🇱🇦	emj_flag
🇱🇧	emj_flag
🇱🇨	emj_flag
🇱🇮	emj_flag
🇱🇰	emj_flag
🇱🇷	emj_flag
🇱🇸	emj_flag
🇱🇹	emj_flag
🇱🇺	emj_flag
🇱🇻	emj_flag
🇱🇾	emj_flag
🇲🇦	emj_flag
🇲🇨	emj_flag
🇲🇩	emj_flag
🇲🇪	emj_flag
🇲🇫	emj_flag
🇲🇬	emj_flag
🇲🇭	emj_flag
🇲🇰	emj_flag
🇲🇱	emj_flag
🇲🇲	emj_flag
🇲🇳	emj_flag
🇲🇴	emj_flag
🇲🇵	emj_flag
🇲🇶	emj_flag
🇲🇷	emj_flag
🇲🇸	emj_flag
🇲🇹	emj_flag
🇲🇺	emj_flag
🇲🇻	emj_flag
🇲🇼	emj_flag
🇲🇽	emj_flag
🇲🇾	emj_flag
🇲🇿	emj_flag
🇳🇦	emj_flag
🇳🇨	emj_flag
🇳🇪	emj_flag
🇳🇫	emj_flag
🇳🇬	emj_flag
🇳🇮	emj_flag
🇳🇱	emj_flag
🇳🇴	emj_flag
🇳🇵	emj_flag
🇳🇷	emj_flag
🇳🇺	emj_flag
🇳🇿	emj_flag
🇴🇲	emj_flag
🇵🇦	emj_flag
🇵🇪	emj_flag
🇵🇫	emj_flag
🇵🇬	emj_flag
🇵🇭	emj_flag
🇵🇰	emj_flag
🇵🇱	emj_flag
🇵🇲	emj_flag
🇵🇳	emj_flag
🇵🇷	emj_flag
🇵🇸	emj_flag
🇵🇹	emj_flag
🇵🇼	emj_flag
🇵🇾	emj_flag
🇶🇦	emj_flag
🇷🇪	emj_flag
🇷🇴	emj_flag
🇷🇸	emj_flag
🇷🇺	emj_flag
🇷🇼	emj_flag
🇸🇦	emj_flag
🇸🇧	emj_flag
🇸🇨	emj_flag
🇸🇩	emj_flag
🇸🇪	emj_flag
🇸🇬	emj_flag
🇸🇭	emj_flag
🇸🇮	emj_flag
🇸🇯	emj_flag
🇸🇰	emj_flag
🇸🇱	emj_flag
🇸🇲	emj_flag
🇸🇳	emj_flag
🇸🇴	emj_flag
🇸🇷	emj_flag
🇸🇸	emj_flag
🇸🇹	emj_flag
🇸🇻	emj_flag
🇸🇽	emj_flag
🇸🇾	emj_flag
🇸🇿	emj_flag
🇹🇦	emj_flag
🇹🇨	emj_flag
🇹🇩	emj_flag
🇹🇫	emj_flag
🇹🇬	emj_flag
🇹🇭	emj_flag
🇹🇯	emj_flag
🇹🇰	emj_flag
🇹🇱	emj_flag
🇹🇲	emj_flag
🇹🇳	emj_flag
🇹🇴	emj_flag
🇹🇷	emj_flag
🇹🇹	emj_flag
🇹🇻	emj_flag
🇹🇼	emj_flag
🇹🇿	emj_flag
🇺🇦	emj_flag
🇺🇬	emj_flag
🇺🇲	emj_flag
🇺🇳	emj_flag
🇺🇸	emj_flag
🇺🇾	emj_flag
🇺🇿	emj_flag
🇻🇦	emj_flag
🇻🇨	emj_flag
🇻🇪	emj_flag
🇻🇬	emj_flag
🇻🇮	emj_flag
🇻🇳	emj_flag
🇻🇺	emj_flag
🇼🇫	emj_flag
🇼🇸	emj_flag
🇽🇰	emj_flag
🇾🇪	emj_flag
🇾🇹	emj_flag
🇿🇦	emj_flag
🇿🇲	emj_flag
🇿🇼	emj_flag
🏴󠁧󠁢󠁥󠁮󠁧󠁿	emj_flag
🏴󠁧󠁢󠁳󠁣󠁴󠁿	emj_flag
🏴󠁧󠁢󠁷󠁬󠁳󠁿	emj_flag
👋🏻	emj_waving_hand
👋🏼	emj_waving_hand
👋🏽	emj_waving_hand
👋🏾	emj_waving_hand
👋🏿	emj_waving_hand
🤚🏻	emj_raised_back_of_hand
🤚🏼	emj_raised_back_of_hand
🤚🏽	emj_raised_back_of_hand
🤚🏾	emj_raised_back_of_hand
🤚🏿	emj_raised_back_of_hand
🖐🏻	emj_hand_with_fingers_splayed
🖐🏼	emj_hand_with_fingers_splayed
🖐🏽	emj_hand_with_fingers_splayed
🖐🏾	emj_hand_with_fingers_splayed
🖐🏿	emj_hand_with_fingers_splayed
✋🏻	emj_raised_hand
✋🏼	emj_raised_hand
✋🏽	emj_raised_hand
✋🏾	emj_raised_hand
✋🏿	emj_raised_hand
🖖🏻	emj_vulcan_salute
🖖🏼	emj_vulcan_salute
🖖🏽	emj_vulcan_salute
🖖🏾	emj_vulcan_salute
🖖🏿	emj_vulcan_salute
👌🏻	emj_ok_hand
👌🏼	emj_ok_hand
👌🏽	emj_ok_hand
👌🏾	emj_ok_hand
👌🏿	emj_ok_hand
🤌🏻	emj_pinched_fingers
🤌🏼	emj_pinched_fingers
🤌🏽	emj_pinched_fingers
🤌🏾	emj_pinched_fingers
🤌🏿	emj_pinched_fingers
🤏🏻	emj_pinching_hand
🤏🏼	emj_pinching_hand
🤏🏽	emj_pinching_hand
🤏🏾	emj_pinching_hand
🤏🏿	emj_pinching_hand
✌🏻	emj_victory_hand
✌🏼	emj_victory_hand
✌🏽	emj_victory_hand
✌🏾	emj_victory_hand
✌🏿	emj_victory_hand
🤞🏻	emj_crossed_fingers
🤞🏼	emj_crossed_fingers
🤞🏽	emj_crossed_fingers
🤞🏾	emj_crossed_fingers
🤞🏿	emj_crossed_fingers
🤟🏻	emj_love_you_gesture
🤟🏼	emj_love_you_gesture
🤟🏽	emj_love_you_gesture
🤟🏾	emj_love_you_gesture
🤟🏿	emj_love_you_gesture
🤘🏻	emj_sign_of_the_horns
🤘🏼	emj_sign_of_the_horns
🤘🏽	emj_sign_of_the_horns
🤘🏾	emj_sign_of_the_horns
🤘🏿	emj_sign_of_the_horns
🤙🏻	emj_call_me_hand
🤙🏼	emj_call_me_hand
🤙🏽	emj_call_me_hand
🤙🏾	emj_call_me_hand
🤙🏿	emj_call_me_hand
👈🏻	emj_backhand_index_pointing_left
👈🏼	emj_backhand_index_pointing_left
👈🏽	emj_backhand_index_pointing_left
👈🏾	emj_backhand_index_pointing_left
👈🏿	emj_backhand_index_pointing_left
👉🏻	emj_backhand_index_pointing_right
👉🏼	emj_backhand_index_pointing_right
👉🏽	emj_backhand_index_pointing_right
👉🏾	emj_backhand_index_pointing_right
👉🏿	emj_backhand_index_pointing_right
👆🏻	emj_backhand_index_pointing_up
👆🏼	emj_backhand_index_pointing_up
👆🏽	emj_backhand_index_pointing_up
👆🏾	emj_backhand_index_pointing_up
👆🏿	emj_backhand_index_pointing_up
🖕🏻	emj_middle_finger
🖕🏼	emj_middle_finger
🖕🏽	emj_middle_finger
🖕🏾	emj_middle_finger
🖕🏿	emj_middle_finger
👇🏻	emj_backhand_index_pointing_down
👇🏼	emj_backhand_index_pointing_down
👇🏽	emj_backhand_index_pointing_down
👇🏾	emj_backhand_index_pointing_down
👇🏿	emj_backhand_index_pointing_down
☝🏻	emj_index_pointing_up
☝🏼	emj_index_pointing_up
☝🏽	emj_index_pointing_up
☝🏾	emj_index_pointing_up
☝🏿	emj_index_pointing_up
👍🏻	emj_thumbs_up
👍🏼	emj_thumbs_up
👍🏽	emj_thumbs_up
👍🏾	emj_thumbs_up
👍🏿	emj_thumbs_up
👎🏻	emj_thumbs_down
👎🏼	emj_thumbs_down
👎🏽	emj_thumbs_down
👎🏾	emj_thumbs_down
👎🏿	emj_thumbs_down
✊🏻	emj_raised_fist
✊🏼	emj_raised_fist
✊🏽	emj_raised_fist
✊🏾	emj_raised_fist
✊🏿	emj_raised_fist
👊🏻	emj_oncoming_fist
👊🏼	emj_oncoming_fist
👊🏽	emj_oncoming_fist
👊🏾	emj_oncoming_fist
👊🏿	emj_oncoming_fist
🤛🏻	emj_left_facing_fist
🤛🏼	emj_left_facing_fist
🤛🏽	emj_left_facing_fist
🤛🏾	emj_left_facing_fist
🤛🏿	emj_left_facing_fist
🤜🏻	emj_right_facing_fist
🤜🏼	emj_right_facing_fist
🤜🏽	emj_right_facing_fist
🤜🏾	emj_right_facing_fist
🤜🏿	emj_right_facing_fist
👏🏻	emj_clapping_hands
👏🏼	emj_clapping_hands
👏🏽	emj_clapping_hands
👏🏾	emj_clapping_hands
👏🏿	emj_clapping_hands
🙌🏻	emj_raising_hands
🙌🏼	emj_raising_hands
🙌🏽	emj_raising_hands
🙌🏾	emj_raising_hands
🙌🏿	emj_raising_hands
👐🏻	emj_open_hands
👐🏼	emj_open_hands
👐🏽	emj_open_hands
👐🏾	emj_open_hands
👐🏿	emj_open_hands
🤲🏻	emj_palms_up_together
🤲🏼	emj_palms_up_together
🤲🏽	emj_palms_up_together
🤲🏾	emj_palms_up_together
🤲🏿	emj_palms_up_together
🙏🏻	emj_folded_hands
🙏🏼	emj_folded_hands
🙏🏽	emj_folded_hands
🙏🏾	emj_folded_hands
🙏🏿	emj_folded_hands
✍🏻	emj_writing_hand
✍🏼	emj_writing_hand
✍🏽	emj_writing_hand
✍🏾	emj_writing_hand
✍🏿	emj_writing_hand
💅🏻	emj_nail_polish
💅🏼	emj_nail_polish
💅🏽	emj_nail_polish
💅🏾	emj_nail_polish
💅🏿	emj_nail_polish
🤳🏻	emj_selfie
🤳🏼	emj_selfie
🤳🏽	emj_selfie
🤳🏾	emj_selfie
🤳🏿	emj_selfie
💪🏻	emj_flexed_biceps
💪🏼	emj_flexed_biceps
💪🏽	emj_flexed_biceps
💪🏾	emj_flexed_biceps
💪🏿	emj_flexed_biceps
🦵🏻	emj_leg
🦵🏼	emj_leg
🦵🏽	emj_leg
🦵🏾	emj_leg
🦵🏿	emj_leg
🦶🏻	emj_foot
🦶🏼	emj_foot
🦶🏽	emj_foot
🦶🏾	emj_foot
🦶🏿	emj_foot
👂🏻	emj_ear
