😀	emj_grinning_face
👩‍🦲	emj_woman
🧑‍🦲	emj_person
👱‍♀️	emj_woman
👱‍♂️	emj_man
🧓	emj_older_person
👴	emj_old_man
👵	emj_old_woman
🙍	emj_person_frowning
🙍‍♂️	emj_man_frowning
🙍‍♀️	emj_woman_frowning
🙎	emj_person_pouting
🙎‍♂️	emj_man_pouting
🙎‍♀️	emj_woman_pouting
🙅	emj_person_gesturing_no
🙅‍♂️	emj_man_gesturing_no
🙅‍♀️	emj_woman_gesturing_no
🙆	emj_person_gesturing_ok
🙆‍♂️	emj_man_gesturing_ok
🙆‍♀️	emj_woman_gesturing_ok
💁	emj_person_tipping_hand
💁‍♂️	emj_man_tipping_hand
💁‍♀️	emj_woman_tipping_hand
🙋	emj_person_raising_hand
🙋‍♂️	emj_man_raising_hand
🙋‍♀️	emj_woman_raising_hand
🧏	emj_deaf_person
🧏‍♂️	emj_deaf_man
🧏‍♀️	emj_deaf_woman
🙇	emj_person_bowing
🙇‍♂️	emj_man_bowing
🙇‍♀️	emj_woman_bowing
🤦	emj_person_facepalming
🤦‍♂️	emj_man_facepalming
🤦‍♀️	emj_woman_facepalming
🤷	emj_person_shrugging
🤷‍♂️	emj_man_shrugging
🤷‍♀️	emj_woman_shrugging
🧑‍⚕️	emj_health_worker
👨‍⚕️	emj_man_health_worker
👩‍⚕️	emj_woman_health_worker
🧑‍🎓	emj_student
👨‍🎓	emj_man_student
👩‍🎓	emj_woman_student
🧑‍🏫	emj_teacher
👨‍🏫	emj_man_teacher
👩‍🏫	emj_woman_teacher
🧑‍⚖️	emj_judge
👨‍⚖️	emj_man_judge
👩‍⚖️	emj_woman_judge
🧑‍🌾	emj_farmer
👨‍🌾	emj_man_farmer
👩‍🌾	emj_woman_farmer
🧑‍🍳	emj_cook
👨‍🍳	emj_man_cook
👩‍🍳	emj_woman_cook
🧑‍🔧	emj_mechanic
👨‍🔧	emj_man_mechanic
👩‍🔧	emj_woman_mechanic
🧑‍🏭	emj_factory_worker
👨‍🏭	emj_man_factory_worker
👩‍🏭	emj_woman_factory_worker
🧑‍💼	emj_office_worker
👨‍💼	emj_man_office_worker
👩‍💼	emj_woman_office_worker
🧑‍🔬	emj_scientist
👨‍🔬	emj_man_scientist
👩‍🔬	emj_woman_scientist
🧑‍💻	emj_technologist
👨‍💻	emj_man_technologist
👩‍💻	emj_woman_technologist
🧑‍🎤	emj_singer
👨‍🎤	emj_man_singer
👩‍🎤	emj_woman_singer
🧑‍🎨	emj_artist
👨‍🎨	emj_man_artist
👩‍🎨	emj_woman_artist
🧑‍✈️	emj_pilot
👨‍✈️	emj_man_pilot
👩‍✈️	emj_woman_pilot
🧑‍🚀	emj_astronaut
👨‍🚀	emj_man_astronaut
👩‍🚀	emj_woman_astronaut
🧑‍🚒	emj_firefighter
👨‍🚒	emj_man_firefighter
👩‍🚒	emj_woman_firefighter
👮	emj_police_officer
👮‍♂️	emj_man_police_officer
👮‍♀️	emj_woman_police_officer
🕵	emj_detective
🕵️‍♂️	emj_man_detective
🕵️‍♀️	emj_woman_detective
💂	emj_guard
💂‍♂️	emj_man_guard
💂‍♀️	emj_woman_guard
🥷	emj_ninja
👷	emj_construction_worker
👷‍♂️	emj_man_construction_worker
👷‍♀️	emj_woman_construction_worker
🤴	emj_prince
👸	emj_princess
👳	emj_person_wearing_turban
👳‍♂️	emj_man_wearing_turban
👳‍♀️	emj_woman_wearing_turban
👲	emj_person_with_skullcap
🧕	emj_woman_with_headscarf
🤵	emj_person_in_tuxedo
🤵‍♂️	emj_man_in_tuxedo
🤵‍♀️	emj_woman_in_tuxedo
👰	emj_person_with_veil
👰‍♂️	emj_man_with_veil
👰‍♀️	emj_woman_with_veil
🤰	emj_pregnant_woman
🤱	emj_breast_feeding
👩‍🍼	emj_woman_feeding_baby
👨‍🍼	emj_man_feeding_baby
🧑‍🍼	emj_person_feeding_baby
👼	emj_baby_angel
🎅	emj_santa_claus
🤶	emj_mrs_claus
🧑‍🎄	emj_mx_claus
🦸	emj_superhero
🦸‍♂️	emj_man_superhero
🦸‍♀️	emj_woman_superhero
🦹	emj_supervillain
🦹‍♂️	emj_man_supervillain
🦹‍♀️	emj_woman_supervillain
🧙	emj_mage
🧙‍♂️	emj_man_mage
🧙‍♀️	emj_woman_mage
🧚	emj_fairy
🧚‍♂️	emj_man_fairy
🧚‍♀️	emj_woman_fairy
🧛	emj_vampire
🧛‍♂️	emj_man_vampire
🧛‍♀️	emj_woman_vampire
🧜	emj_merperson
🧜‍♂️	emj_merman
🧜‍♀️	emj_mermaid
🧝	emj_elf
🧝‍♂️	emj_man_elf
🧝‍♀️	emj_woman_elf
🧞	emj_genie
🧞‍♂️	emj_man_genie
🧞‍♀️	emj_woman_genie
🧟	emj_zombie
🧟‍♂️	emj_man_zombie
🧟‍♀️	emj_woman_zombie
💆	emj_person_getting_massage
💆‍♂️	emj_man_getting_massage
💆‍♀️	emj_woman_getting_massage
💇	emj_person_getting_haircut
💇‍♂️	emj_man_getting_haircut
💇‍♀️	emj_woman_getting_haircut
🚶	emj_person_walking
🚶‍♂️	emj_man_walking
🚶‍♀️	emj_woman_walking
🧍	emj_person_standing
🧍‍♂️	emj_man_standing
🧍‍♀️	emj_woman_standing
🧎	emj_person_kneeling
🧎‍♂️	emj_man_kneeling
🧎‍♀️	emj_woman_kneeling
🧑‍🦯	emj_person_with_white_cane
👨‍🦯	emj_man_with_white_cane
👩‍🦯	emj_woman_with_white_cane
🧑‍🦼	emj_person_in_motorized_wheelchair
👨‍🦼	emj_man_in_motorized_wheelchair
👩‍🦼	emj_woman_in_motorized_wheelchair
🧑‍🦽	emj_person_in_manual_wheelchair
👨‍🦽	emj_man_in_manual_wheelchair
👩‍🦽	emj_woman_in_manual_wheelchair
🏃	emj_person_running
🏃‍♂️	emj_man_running
🏃‍♀️	emj_woman_running
💃	emj_woman_dancing
🕺	emj_man_dancing
🕴	emj_person_in_suit_levitating
👯	emj_people_with_bunny_ears
👯‍♂️	emj_men_with_bunny_ears
👯‍♀️	emj_women_with_bunny_ears
🧖	emj_person_in_steamy_room
🧖‍♂️	emj_man_in_steamy_room
🧖‍♀️	emj_woman_in_steamy_room
🧗	emj_person_climbing
🧗‍♂️	emj_man_climbing
🧗‍♀️	emj_woman_climbing
🤺	emj_person_fencing
🏇	emj_horse_racing
⛷	emj_skier
🏂	emj_snowboarder
🏌	emj_person_golfing
🏌️‍♂️	emj_man_golfing
🏌️‍♀️	emj_woman_golfing
🏄	emj_person_surfing
🏄‍♂️	emj_man_surfing
🏄‍♀️	emj_woman_surfing
🚣	emj_person_rowing_boat
🚣‍♂️	emj_man_rowing_boat
🚣‍♀️	emj_woman_rowing_boat
🏊	emj_person_swimming
🏊‍♂️	emj_man_swimming
🏊‍♀️	emj_woman_swimming
⛹	emj_person_bouncing_ball
⛹️‍♂️	emj_man_bouncing_ball
⛹️‍♀️	emj_woman_bouncing_ball
🏋	emj_person_lifting_weights
🏋️‍♂️	emj_man_lifting_weights
🏋️‍♀️	emj_woman_lifting_weights
🚴	emj_person_biking
🚴‍♂️	emj_man_biking
🚴‍♀️	emj_woman_biking
🚵	emj_person_mountain_biking
🚵‍♂️	emj_man_mountain_biking
🚵‍♀️	emj_woman_mountain_biking
🤸	emj_person_cartwheeling
🤸‍♂️	emj_man_cartwheeling
🤸‍♀️	emj_woman_cartwheeling
🤼	emj_people_wrestling
🤼‍♂️	emj_men_wrestling
🤼‍♀️	emj_women_wrestling
🤽	emj_person_playing_water_polo
🤽‍♂️	emj_man_playing_water_polo
🤽‍♀️	emj_woman_playing_water_polo
🤾	emj_person_playing_handball
🤾‍♂️	emj_man_playing_handball
🤾‍♀️	emj_woman_playing_handball
🤹	emj_person_juggling
🤹‍♂️	emj_man_juggling
🤹‍♀️	emj_woman_juggling
🧘	emj_person_in_lotus_position
🧘‍♂️	emj_man_in_lotus_position
🧘‍♀️	emj_woman_in_lotus_position
🛀	emj_person_taking_bath
🛌	emj_person_in_bed
🧑‍🤝‍🧑	emj_people_holding_hands
👭	emj_women_holding_hands
👫	emj_woman_and_man_holding_hands
👬	emj_men_holding_hands
💏	emj_kiss
👩‍❤️‍💋‍👨	emj_kiss
👨‍❤️‍💋‍👨	emj_kiss
👩‍❤️‍💋‍👩	emj_kiss
💑	emj_couple_with_heart
👩‍❤️‍👨	emj_couple_with_heart
👨‍❤️‍👨	emj_couple_with_heart
👩‍❤️‍👩	emj_couple_with_heart
👪	emj_family
👨‍👩‍👦	emj_family
👨‍👩‍👧	emj_family
👨‍👩‍👧‍👦	emj_family
👨‍👩‍👦‍👦	emj_family
👨‍👩‍👧‍👧	emj_family
👨‍👨‍👦	emj_family
👨‍👨‍👧	emj_family
👨‍👨‍👧‍👦	emj_family
👨‍👨‍👦‍👦	emj_family
👨‍👨‍👧‍👧	emj_family
👩‍👩‍👦	emj_family
👩‍👩‍👧	emj_family
👩‍👩‍👧‍👦	emj_family
👩‍👩‍👦‍👦	emj_family
👩‍👩‍👧‍👧	emj_family
👨‍👦	emj_family
👨‍👦‍👦	emj_family
👨‍👧	emj_family
👨‍👧‍👦	emj_family
👨‍👧‍👧	emj_family
👩‍👦	emj_family
👩‍👦‍👦	emj_family
👩‍👧	emj_family
👩‍👧‍👦	emj_family
👩‍👧‍👧	emj_family
🗣	emj_speaking_head
👤	emj_bust_in_silhouette
👥	emj_busts_in_silhouette
🫂	emj_people_hugging
👣	emj_footprints
🦰	emj_red_hair
🦱	emj_curly_hair
🦳	emj_white_hair
🦲	emj_bald
🐵	emj_monkey_face
🐒	emj_monkey
🦍	emj_gorilla
🦧	emj_orangutan
🐶	emj_dog_face
🐕	emj_dog
🦮	emj_guide_dog
🐕‍🦺	emj_service_dog
🐩	emj_poodle
🐺	emj_wolf
🦊	emj_fox
🦝	emj_raccoon
🐱	emj_cat_face
🐈	emj_cat
🐈‍⬛	emj_black_cat
🦁	emj_lion
🐯	emj_tiger_face
🐅	emj_tiger
🐆	emj_leopard
🐴	emj_horse_face
🐎	emj_horse
🦄	emj_unicorn
🦓	emj_zebra
🦌	emj_deer
🦬	emj_bison
🐮	emj_cow_face
🐂	emj_ox
🐃	emj_water_buffalo
🐄	emj_cow
🐷	emj_pig_face
🐖	emj_pig
🐗	emj_boar
🐽	emj_pig_nose
🐏	emj_ram
🐑	emj_ewe
🐐	emj_goat
🐪	emj_camel
🐫	emj_two_hump_camel
🦙	emj_llama
🦒	emj_giraffe
🐘	emj_elephant
🦣	emj_mammoth
🦏	emj_rhinoceros
🦛	emj_hippopotamus
🐭	emj_mouse_face
🐁	emj_mouse
🐀	emj_rat
🐹	emj_hamster
🐰	emj_rabbit_face
🐇	emj_rabbit
🐿	emj_chipmunk
🦫	emj_beaver
🦔	emj_hedgehog
🦇	emj_bat
🐻	emj_bear
🐻‍❄️	emj_polar_bear
🐨	emj_koala
🐼	emj_panda
🦥	emj_sloth
🦦	emj_otter
🦨	emj_skunk
🦘	emj_kangaroo
🦡	emj_badger
🐾	emj_paw_prints
🦃	emj_turkey
